Index,avg_price_per_kg
1,10.7957
2,11.850199999999994
3,10.0
4,8.748800000000006
5,8.192290000000003
6,4.184199999999997
7,3.66216666666666
8,7.3771727221389645
9,8.719284879148628
10,9.293519999999988
11,5.319481303258149
12,5.684499999999999
13,8.94819424908425
14,4.376299999999999
15,4.54475028582529
16,6.118839000000011
17,7.436700000000003
18,4.508475082956258
19,10.809800000000005
20,6.020842860095716
21,5.6822071428571395
22,4.7440999999999995
23,5.292419047619048
24,7.8256999999999834
25,5.559999999999998
26,6.528840303030305
27,7.518229756097566
28,7.907831190476197
29,7.4546385745784915
30,7.121279154978144
31,7.867938333333339
32,5.591161111111111
33,9.82515654761905
34,7.649999999999986
35,4.817400000000002
36,9.833000000000007
37,10.930799999999984
38,11.378800000000005
39,6.351872207792213
40,6.627079624542125
41,7.099799999999995
42,7.760257142857149
43,5.117499999999996
44,6.2050159812409875
45,5.559999999999998
46,5.307969088250931
47,5.0
48,5.5692999999999975
49,6.073621954842552
50,5.031099999999998
51,1.5515999999999999
52,6.390241428571427
53,6.7132000000000005
54,14.179100000000016
55,8.33203964285714
56,5.52541056277056
57,11.262599999999996
58,8.92838182289846
59,7.521016666666673
60,6.051000000000001
61,7.30123333333333
62,11.349000000000004
63,6.242918481240988
64,9.248569523809529
65,6.4160458333333334
66,6.200295238095247
67,6.825263809523816
68,5.130931309523808
69,5.481899999999997
70,6.940138232323237
71,5.462699999999995
72,4.574033416289591
73,3.139079999999999
74,7.964999999999999
75,6.928857575757581
76,4.989417528011204
77,6.120169488898208
78,9.199038668831168
79,10.940299999999985
80,6.259235981240988
81,6.7056000000000004
82,5.0
83,6.044568424908416
84,5.559999999999998
85,1.1663999999999997
86,6.056545562770567
87,7.270952193362194
88,11.247300000000001
89,4.899300000000003
90,7.0080957130832155
91,9.429973492063489
92,9.583356666666662
93,7.12758154917377
94,6.079495238095243
95,5.9971
96,6.556556481481478
97,8.488200000000008
98,8.930661630036626
99,6.965751692985667
100,5.559999999999998
101,11.097099999999985
102,6.38913444139194
103,5.8786000000000005
104,7.649999999999986
105,7.048458035081531
106,8.632900000000001
107,7.637469431275328
108,2.7696499999999973
109,10.0
110,5.002199999999999
111,4.065250980392158
112,7.746300000000008
113,6.108300123818843
114,4.196900000000005
115,7.190836638655464
116,10.0
117,5.3562499999999975
118,9.405943571428573
119,4.440024999999999
120,6.726567380952381
121,5.984633895637817
122,4.192600000000003
123,9.782608730158742
124,4.5384
125,8.592444761904755
126,7.145767960894788
127,4.18455619047619
128,8.835434565580615
129,9.864200000000007
130,5.985073860665483
131,7.055954545454545
132,5.719969402318103
133,9.204387002164495
134,8.35943051948051
135,1.25
136,6.160451941036863
137,7.708899999999985
138,7.154783907423747
139,7.756780000000008
140,5.511524008885846
141,7.900756190476198
142,5.5
143,8.867116666666668
144,4.8280484136477595
145,9.069890634920638
146,6.669999999999995
147,5.4381249999999985
148,7.638404848484854
149,5.476599999999994
150,8.8148
151,10.0
152,8.231386178989144
153,4.445237500000006
154,7.904451940836944
155,7.103195613275622
156,10.990999999999985
157,4.953019696969695
158,4.4858108333333355
159,6.114753015873016
160,6.037230000000001
161,8.069439884559886
162,9.90464190476189
163,7.156346000833217
164,8.431130476190473
165,7.274835161135162
166,8.073387619047622
167,7.787599999999984
168,7.320719829345489
169,4.980700000000001
170,7.583011391465118
171,8.667993333333339
172,7.63847128205129
173,5.0562000000000005
174,11.236299999999996
175,6.05784432853825
176,4.760600000000004
177,6.9105
178,5.590899999999996
179,6.130923809523812
180,7.105836666666661
181,5.040883333333333
182,0.5650000000000002
183,10.727853333333337
184,7.344653933207321
185,7.2082915491737705
186,0.6019000000000002
187,4.1440433333333315
188,9.846000000000009
189,7.608237948717959
190,5.68621818181818
191,5.559999999999998
